AGE	GENDER	INCOME	PEOPLE	EQ	OCCUP_STU	OCCUP_JOB	V_OWN	PURCHASE_COST	OPERATING_COST	MAINTENANCE_COST	RESALE_VALUE	DRIVING_RANGE	AVAIL_CHAGE_FUEL	QUICK_ACCELERATION	SMOOTH_RIDING_EXPERIENCE	INTERIOR_SPACE	NOISE_LEVEL	ENVIRONMENTAL_PROTECTION	HEAR_EV	KNOW_EV	COST_AWARE_EV	SUSTAIN_EV	CHOICE	EV_AV	ICE_AV
53	0	75.5	5	0	0	1	1	5	1	1	5	1	1	1	1	1	1	1	5	4	5	5	2	1	1
24	0	175.5	6	1	0	1	1	5	4	4	5	3	3	1	4	3	3	1	5	4	4	4	2	1	1
24	0	125.5	5	0	1	0	0	3	5	4	2	2	1	5	5	3	5	5	5	4	5	5	1	1	1
24	0	25	5	0	1	0	0	1	1	2	1	1	3	1	2	1	2	1	2	1	3	3	2	1	1
38	0	250	3	1	0	1	1	2	3	4	3	5	5	2	4	3	3	3	5	5	4	4	2	1	1
24	0	125.5	5	0	0	0	0	4	5	5	1	2	5	2	4	5	3	3	4	3	3	3	2	1	1
38	1	175.5	4	1	0	1	1	1	2	3	1	2	1	3	3	3	3	3	3	2	2	3	1	1	1
24	0	75.5	4	0	1	0	0	4	3	4	4	4	5	2	3	3	2	1	3	2	2	4	2	1	1
38	0	75.5	5	1	0	1	0	5	2	3	5	5	5	3	4	3	3	2	5	4	3	4	2	1	1
24	0	25	4	0	1	0	0	5	5	5	3	4	5	5	5	4	5	5	4	3	4	4	1	1	1
24	0	75.5	4	0	1	0	0	3	5	5	4	3	4	2	2	3	4	4	2	2	4	4	1	1	1
38	0	125.5	6	1	0	1	1	3	3	3	3	3	3	2	2	3	2	2	4	3	2	2	2	1	1
24	0	75.5	3	1	0	1	0	5	4	4	4	3	4	4	3	4	3	4	4	3	5	5	1	1	1
24	0	75.5	6	1	1	0	0	4	5	5	4	3	3	4	4	4	4	5	4	3	4	4	1	1	1
24	0	25	3	0	1	0	0	4	4	5	4	2	3	5	4	4	3	5	4	3	4	4	2	1	1
24	0	125.5	4	0	1	0	0	5	4	5	2	3	1	2	2	5	5	5	3	3	4	4	1	1	1
38	0	75.5	3	0	0	1	0	5	4	5	4	5	5	2	3	3	3	2	4	2	5	5	2	1	1
38	0	75.5	4	1	0	1	0	3	3	3	3	2	3	2	3	2	2	2	4	3	2	2	2	1	1
24	1	25	6	0	0	1	1	4	5	4	4	3	4	3	5	5	5	5	4	2	5	5	1	1	1
24	0	25	4	1	1	0	0	3	5	4	3	3	3	3	4	4	4	4	4	3	4	4	1	1	1
24	0	75.5	4	0	0	1	0	2	4	4	2	3	2	3	4	4	4	4	4	3	4	4	1	1	1
24	0	75.5	3	1	1	0	0	5	3	4	1	2	5	1	4	4	3	3	5	4	4	4	2	1	1
24	0	25	2	0	0	1	0	5	5	5	5	5	5	5	5	5	5	5	2	2	4	3	1	1	1
53	0	125.5	5	1	0	1	1	1	4	2	1	1	1	2	3	2	2	2	4	3	2	2	2	1	1
24	0	125.5	4	1	0	1	0	5	5	5	1	2	4	2	2	2	2	1	3	4	2	3	2	1	1
24	0	75.5	4	0	1	0	0	3	3	3	4	4	5	2	3	3	3	3	4	5	2	1	2	1	1
24	0	25	5	0	1	0	0	3	5	4	3	4	2	3	5	4	3	5	4	3	4	3	1	1	1
53	0	75.5	4	1	0	1	1	3	4	4	3	2	4	4	5	4	4	5	2	3	4	4	1	1	1
24	1	125.5	4	0	0	1	0	1	3	3	1	1	1	2	2	2	2	3	4	5	3	2	2	1	1
38	0	75.5	5	1	0	1	0	5	3	2	5	5	5	3	2	1	2	3	2	3	5	5	2	1	1
24	0	25	4	0	0	1	0	1	5	2	2	1	1	4	5	4	4	4	2	3	4	4	2	1	1
53	1	125.5	4	1	0	1	1	5	5	5	5	5	5	1	2	2	2	3	4	3	4	4	2	1	1
24	0	25	4	1	0	1	1	1	5	5	1	4	4	1	2	3	4	4	4	4	5	5	2	1	1
24	0	25	4	1	1	0	0	3	5	5	2	2	3	2	5	4	5	5	4	3	5	4	1	1	1
24	1	75.5	5	0	0	0	0	5	2	2	3	5	2	3	3	3	2	2	4	3	4	4	2	1	1
24	1	75.5	4	1	1	0	0	3	2	2	3	1	1	4	2	2	3	3	4	3	3	3	2	1	1
24	0	75.5	5	0	0	1	0	5	4	4	4	4	2	1	1	1	1	2	5	3	3	5	2	1	1
24	0	75.5	4	0	1	0	0	3	4	4	3	2	1	4	5	4	4	2	5	3	4	5	1	1	1
24	0	25	6	0	0	1	0	5	3	5	4	4	5	3	3	3	3	1	4	4	3	3	2	1	1
38	0	125.5	8	1	0	1	0	3	5	4	4	4	3	3	4	3	4	5	3	4	4	4	1	1	1
38	0	75.5	3	1	0	1	1	5	3	4	5	5	5	2	3	3	4	4	1	5	2	2	2	1	1
24	0	25	5	0	1	0	0	5	5	5	5	5	5	5	5	5	5	5	4	3	4	4	2	1	1
24	0	75.5	5	0	1	0	0	2	3	3	1	3	3	2	2	1	1	3	1	2	1	1	1	1	1
24	0	125.5	4	1	1	0	0	4	4	4	3	4	4	2	4	3	4	4	4	5	4	3	2	1	1
24	0	175.5	6	1	0	1	1	5	2	5	5	5	5	5	2	3	3	5	4	5	1	1	2	1	1
53	0	250	5	1	0	1	1	3	5	4	3	3	2	4	4	4	4	4	4	4	4	4	1	1	1
53	0	125.5	4	1	0	1	0	4	5	4	3	3	5	3	5	4	3	2	3	2	5	4	2	1	1
38	1	125.5	2	1	0	1	1	5	4	2	5	2	5	1	2	3	3	3	4	4	1	2	2	1	1
24	0	125.5	3	0	1	0	1	5	5	5	4	4	5	2	5	5	4	2	1	1	2	2	2	1	1
24	0	25	4	0	1	0	0	3	5	5	3	4	4	2	4	4	5	5	4	3	3	5	1	1	1
38	0	75.5	4	1	0	1	1	5	1	1	5	5	5	1	1	1	1	3	3	3	4	1	2	1	1
24	0	25	4	1	0	1	0	3	2	2	3	2	3	1	1	1	2	2	1	4	2	2	2	1	1
24	0	25	5	0	1	0	0	4	4	3	3	3	3	5	5	4	5	5	3	2	3	3	1	1	1
38	1	75.5	3	1	0	1	0	4	3	3	4	5	5	4	4	4	4	4	4	3	4	4	2	1	1
24	0	25	6	0	1	0	0	4	4	4	4	4	4	4	5	4	5	3	4	2	2	4	1	1	1
24	0	250	5	1	1	0	1	3	2	3	3	3	3	1	3	1	2	2	5	5	5	5	2	1	1
24	0	75.5	4	0	1	0	0	2	3	4	4	3	2	3	4	3	2	3	1	2	3	4	2	1	1
24	0	75.5	4	0	1	0	0	3	2	4	5	4	4	3	5	4	3	1	5	1	4	4	2	1	1
38	0	175.5	4	1	0	1	1	4	5	5	4	5	5	2	5	3	3	5	3	3	3	3	1	1	1
24	0	25	2	0	1	0	0	2	5	5	3	3	2	4	4	4	4	5	4	4	4	5	1	1	1
24	0	25	4	0	1	0	0	4	2	2	4	5	5	4	5	5	4	5	2	3	4	3	2	1	1
24	0	175.5	3	1	0	1	0	2	5	3	1	3	2	2	3	4	2	5	5	3	4	5	1	1	1
38	0	25	2	0	0	1	0	4	5	5	3	2	4	5	5	4	4	4	4	3	3	3	1	1	1
24	1	125.5	4	1	0	1	1	3	3	3	4	4	5	3	3	3	3	3	2	2	3	4	2	1	1
24	0	25	3	0	1	0	0	3	3	2	2	4	3	3	3	3	2	5	4	2	3	3	1	1	1
24	0	175.5	4	0	1	0	0	3	3	3	3	3	3	3	3	3	3	2	3	3	1	2	2	1	1
